director,title,budget,revenue,return,year
Roy Del Ruth,Red Light,,,,1949
Julian Roffman,The Mask,,,,1961
João Moreira Salles,Santiago,,,,2007
Frank Lloyd,The Sea Hawk,,,,1924
William A. Seiter,This Is My Affair,,,,1937
Gil-yeong Jeong,Our Town,,,,2007
Alain Cavalier,The Unvanquished,,,,1964
Richard W. Munchkin,Ring of Fire II: Blood and Steel,,,,1993
Albert Pyun,Journey to the Center of the Earth,,,,1989
Shem Bitterman,The Job,,,,2009
Jack Haley Jr.,That's Dancing!,,,,1985
Frank Tashlin,Snow White and the Three Stooges,,,,1961
Martin Weisz,Squatters,,,,2014
Sidney Franklin,The Hoodlum,,,,1919
Norman Taurog,Words and Music,,,,1948
Leigh Scott,Hillside Cannibals,,,,2006
John Mackenzie,The Last of the Finest,,,,1990
John Guillermin,Tarzan's Greatest Adventure,,,,1959
Karim Dridi,The Last Flight,24000000.0,,,2009
Daniel Petrie,Lifeguard,,,,1976
Jeff Celentano,Gunshy,,,,1998
Michael Rymer,Perfume,,,,2001
Mario Monicelli,Cops and Robbers,,,,1951
Fred F. Sears,Rock Around the Clock,,,,1956
Ernest R. Dickerson,Monday Night Mayhem,,,,2002
Thomas Vincent,The New Protocol,,,,2008
Alberto De Martino,Holocaust 2000,,,,1977
Antonio Margheriti,The Virgin of Nuremberg,,,,1963
David Dunn Jr.,Lizzie,,,,2013
Hunter G. Williams,The Crying Dead,,,,2011
Olivier Masset-Depasse,Illegal,,404.0,,2010
Curtis Bernhardt,My Reputation,,,,1946
Ken Sanzel,Scarred City,,,,1999
Chris Taylor,The Wind in the Willows,,,,1983
Yoshihiro Nakamura,A Boy and His Samurai,,,,2010
Rodney Gibbons,Slow Burn,,,,2000
E. Mason Hopper,Their Own Desire,,,,1929
,Home Sweet Home,,,,2001
Victor Schertzinger,One Night of Love,,,,1934
Jacques Tourneur,Great Day in the Morning,,,,1956
Clive Brook,On Approval,,,,1944
Boris Sagal,Guns of Diablo,,,,1965
Ann Hui,Night and Fog,,,,2009
Liu Chia-Liang,Shaolin Mantis,,,,1978
John Badham,Evel Knievel,,,,2004
Jack Cardiff,The Lion,,,,1962
Lewis Seiler,The Smiling Ghost,,,,1941
Colin Nutley,Such Is Life,,,,1996
Chris Marker,Le Joli Mai,,,,1963
Sam Taylor,The Taming of the Shrew,,,,1929
Bill Corcoran,Outlaw Justice,,,,1999
Norman Taurog,Onionhead,,,,1958
Michael Curtiz,Mandalay,,,,1934
Theo Angelopoulos,The Hunters,,,,1977
A.D. Calvo,The Midnight Game,,,,2013
Jessie Deeter,Spark: A Burning Man Story,,,,2013
Achero Mañas,Anything You Want,,,,2010
Martin Kemp,Stalker,,,,2010
John Sturges,The Scarlet Coat,,,,1955
Alexander Hall,There's Always A Woman,,,,1938
Idrissa Ouedraogo,The Law,,,,1990
Tay Garnett,One Minute to Zero,,,,1952
Robert Wise,Two Flags West,,,,1950
Mack V. Wright,Haunted Gold,,,,1932
Sam Wood,Raffles,,,,1939
Alan Crosland,The Case of the Howling Dog,,,,1934
Anna Martemucci,Hollidaysburg,600000.0,,,2014
Rowland Brown,Hell's Highway,,,,1932
Robert Pratten,London Voodoo,,,,2004
Gemma Atwal,Marathon Boy,,,,2010
Mervyn LeRoy,Heat Lightning,,,,1934
Bob McNaught,Sea Wife,,,,1957
Tom McLoughlin,The Front,5000000.0,,,2010
Tito Davison,The Big Cube,,,,1969
Thibaut de Longeville,Just for Kicks,,,,2005
John Paddy Carstairs,Just My Luck,,,,1957
Maury Dexter,The Day Mars Invaded Earth,,,,1963
Malcolm Marmorstein,Love Bites,,,,1993
Howard W. Koch,The Girl in Black Stockings,,,,1957
Kazuo Kuroki,Ronin-gai,,,,1990
Juan Antonio Bardem,The Mysterious Island,,,,1973
Constantine Giannaris,Hostage,,,,2005
Harry Beaumont,Laughing Sinners,,,,1931
Fred M. Wilcox,Hills of Home,,,,1948
Lucien Hubbard,The Mysterious Island,,,,1929
Felix E. Feist,The Threat,,,,1949
Terence Fisher,Stolen Face,,,,1952
Ava DuVernay,I Will Follow,,,,2010
David Trueba,Bienvenido a casa,,,,2006
George Archainbaud,The Lost Squadron,,,,1932
Mark Robson,Home of the Brave,,,,1949
Filip Tegstedt,Marianne,,,,2011
Joe Swanberg,Uncle Kent,,,,2011
George Cukor,Song Without End,,,,1960
Richard Boleslawski,Three Godfathers,,,,1936
Joseph Pevney,The Crowded Sky,,,,1960
Frank Lloyd,The Divine Lady,,,,1929
Walter Boholst,Voodoo Possession,,,,2014
Allison Anders,Ring of Fire,,,,2013
Julien Duvivier,Lydia,,,,1941
Mervyn LeRoy,Hard to Handle,,,,1933
Demian Lichtenstein,Venus & Vegas,,,,2010
Ron Howard,Jay-Z: Made in America,,,,2013
Michael Curtiz,The Man in the Net,,,,1959
William K. Howard,The Power and the Glory,,,,1933
David DeCoteau,House of Usher,1000000.0,,,2008
George Marshall,It Started With A Kiss,,,,1959
Roger Holzberg,Midnight Crossing,,1328001.0,,1988
Wayne Holloway,Snake & Mongoose,,,,2013
Curtis Harrington,Ruby,,,,1977
George Blair,The Hypnotic Eye,365000.0,,,1960
Alexander Hall,They All Kissed the Bride,,,,1942
Andrew Marton,Men of the Fighting Lady,,,,1954
Sergey Bondarchuk,"War and Peace, Part IV: Pierre Bezukhov",,,,1967
Daniel Adams,The Lightkeepers,4500000.0,,,2009
Sergio Grieco,Special Mission Lady Chaplin,,,,1966
Sergio Grieco,From the Orient with Fury,,,,1965
Leo McCarey,Good Sam,,,,1948
Rodrigo García,Delirium,,,,2014
Saul Bass,Why Man Creates,,,,1968
Roy Ward Baker,Moon Zero Two,,,,1969
Brian Trenchard-Smith,Absolute Deception,5000000.0,,,2013
Rupert Wyatt,The Gambler,25000000.0,39171130.0,1.5668452,2014
Todd Douglas Miller,Dinosaur 13,,,,2014
Sutton Roley,Chosen Survivors,,,,1974
Adam Rapp,Loitering with Intent,,,,2014
Ethan Spaulding,Justice League: Throne of Atlantis,3500000.0,,,2015
Steve Stark,Jay And Silent Bob's Super Groovy Cartoon Movie,,,,2013
Samuli Valkama,Love and Other Troubles,,,,2012
William Dieterle,The Turning Point,,,,1952
André De Toth,Thunder Over the Plains,,,,1953
Roger Vadim,The Night Heaven Fell,,,,1958
Diego Lerman,The Invisible Eye,,,,2010
Glenn Chaika,The Adventures of Tom Thumb & Thumbelina,,,,2002
Israel Luna,The Ouija Experiment,,,,2011
Alex Wright,Styx,,,,2001
Vincent Sherman,"Goodbye, My Fancy",,,,1951
Alfred E. Green,Union Depot,,,,1932
Carlo Lizzani,The Hills Run Red,,,,1966
Dave Unwin,The Wind in the Willows,,,,1995
Kira Muratova,Melody for a Street Organ,,,,2009
Eduardo Schuldt,The Dolphin: Story of a Dreamer,3000000.0,,,2009
Mitchell Leisen,"Swing High, Swing Low",,,,1937
Jiří Barta,Toys in the Attic,,,,2009
J. Lee Thompson,Return from the Ashes,,,,1965
John Eyres,Project: Shadowchaser,,,,1992
Mario Van Peebles,Redemption Road,,,,2011
Mohammad-Ali Talebi,Willow and Wind,,,,2000
Lloyd Corrigan,Murder on a Honeymoon,,,,1935
Sidney Lumet,Stage Struck,,,,1958
Delbert Mann,Heidi,,,,1968
Roy Rowland,Gun Glory,,,,1957
Mickey Keating,Ritual,,,,2013
Yoshihiro Nakamura,"The Foreign Duck, the Native Duck and God in a Coin Locker",,,,2007
Sergey Bondarchuk,"War and Peace, Part II: Natasha Rostova",,,,1966
Darin Scott,House Party: Tonight's the Night,,,,2013
Jim Kouf,Miracles,,,,1986
Fred Allen,"Ride Him, Cowboy",,,,1932
Felix Feist,This Woman Is Dangerous,,,,1952
William Keighley,Special Agent,,,,1935
John Irvin,The Fine Art of Love: Mine Ha-Ha,,,,2005
Oz Scott,Spanish Judges,3500000.0,,,2000
Michael Curtiz,The Helen Morgan Story,,,,1957
Holger Tappe,Impy's Island,,,,2006
Michael Berz,Snow White,,,,1987
Guel Arraes,Romance,,,,2008
Carlos Sorin,The Window,,,,2008
David Butler,King Richard And The Crusaders,,,,1954
George Sidney,Jeanne Eagels,,,,1957
Martin Ritt,No Down Payment,,,,1957
Robert Wise,This Could Be the Night,,,,1957
Max Nosseck,The Hoodlum,,,,1951
John Sturges,Underwater!,3500000.0,,,1955
Ray Enright,Return of the Bad Men,,,,1948
Ryan Piers Williams,The Dry Land,,12000.0,,2010
Ronald F. Maxwell,Kidco,,,,1984
Ettore Scola,Splendor,,,,1989
James V. Kern,Never Say Goodbye,,,,1946
Richard Whorf,It Happened in Brooklyn,,,,1947
George Stevens,Vigil in the Night,,,,1940
George B. Seitz,Life Begins for Andy Hardy,,,,1941
Reinhold Schünzel,The Ice Follies of 1939,,,,1939
Avi Nesher,The Matchmaker,2150000.0,,,2010
Dick Lowry,Kenny Rogers as The Gambler,,,,1980
Edward Buzzell,Virtue,,,,1932
Simon Wincer,The Cup,,,,2011
Gordon Douglas,The Iron Mistress,,,,1952
Michael Gordon,The Web,,,,1947
Claude Zidi,The Big Store,,,,1973
Lloyd Bacon,The Fuller Brush Girl,,,,1950
John Guillermin,Waltz of the Toreadors,,,,1962
Ernest R. Dickerson,Last Man Standing,,,,2011
Richard Thorpe,White Cargo,,,,1942
,Eddie Izzard: Force Majeure Live,,,,2013
Earl Duvall,Sittin' on a Backyard Fence,,,,1933
Pavel Klushantsev,Mars,,,,1968
Marty Thomas,Killer Holiday,,,,2013
Samir,Snow White,,,,2005
John Ford,The Rising of the Moon,,,,1957
W.S. Van Dyke,The Feminine Touch,,,,1941
Harry d'Abbadie d'Arrast,Topaze,,,,1933
Delmer Daves,Susan Slade,,,,1961
Johnnie To,The Big Heat,,,,1988
André Téchiné,Scene of the Crime,,,,1986
Paul Breuls,The Hessen Affair,20000000.0,,,2009
Roy Rowland,Scene of the Crime,,,,1949
André De Toth,Riding Shotgun,,1400000.0,,1954
Frederick de Cordova,I'll Take Sweden,,,,1965
William Asher,Johnny Cool,,,,1963
Christopher Cain,Pure Country 2: The Gift,,133771.0,,2010
Sergey Bondarchuk,"War and Peace, Part III: The Year 1812",,,,1967
Peter Svatek,Witchboard III: The Possession,,,,1995
Stephen Bridgewater,Prairie Fever,,,,2008
Howard E. Baker,Unstable Fables: Tortoise vs. Hare,,,,2008
Zalman King,Pleasure or Pain,,,,2013
Enrico Clerico Nasino,"You Lie, You Die",,,,2012
George W. Hill,The Cossacks,,,,1928
Tay Garnett,The Black Knight,,,,1954
Brian De Palma,Home Movies,,,,1980
Marty Callner,The Pee-Wee Herman Show on Broadway,,,,2011
Philip Leacock,The Spanish Gardener,,,,1956
,Safety Patrol,,,,1998
Jack Gage,The Velvet Touch,,,,1948
Roy Rowland,Two Weeks with Love,,,,1950
Terry O. Morse,Shadows Over Chinatown,,,,1946
Hermine Huntgeburth,Tom Sawyer,,,,2011
Raoul Walsh,Me and My Gal,,,,1932
Maiken Baird,Venus and Serena,,,,2012
Mikhail Romm,Nine Days of One Year,,,,1961
Stuart Heisler,I Died a Thousand Times,,,,1955
Gordon Douglas,Yellowstone Kelly,,,,1959
Richard Thorpe,The Last Challenge,,,,1967
Mervyn LeRoy,Two Seconds,,,,1932
William Shatner,TekWar,,,,1994
Peter Glenville,The Prisoner,,,,1955
Yaniv Raz,Son of Morning,,,,2011
Sergey Bondarchuk,"War and Peace, Part I: Andrei Bolkonsky",,,,1965
Robert Collector,Red Heat,,,,1985
Alex Merkin,Percentage,,,,2013
Edward Nassour,The Beast of Hollow Mountain,,,,1956
Robert Stevenson,The Woman on Pier 13,,,,1949
Chester Erskine,Midnight,,,,1934
Yoshio Inoue,Hanzo the Razor: Who's Got the Gold?,,,,1974
Lewis Gilbert,The Good Die Young,,,,1954
Kiyoshi Kurosawa,Real,,,,2013
Andrew C. Erin,Playdate,,,,2012
Gordon Parks,The Learning Tree,,,,1969
William A. Wellman,The Next Voice You Hear....,,,,1950
Irving Pichel,The Great Rupert,,,,1950
Tanner Beard,The Legend of Hell's Gate: An American Conspiracy,,,,2011
Brooks Branch,Multiple Sarcasms,,,,2010
Alan Gibson,A Woman Called Golda,,,,1982
Roy Rowland,These Wilder Years,,,,1956
Paul Wendkos,The Burglar,,,,1957
Dorothy Arzner,The Bride Wore Red,,,,1937
Noah Miller,Touching Home,2000000.0,,,2008
John Huston,The Roots of Heaven,,,,1958
Hideo Gosha,Tenchu!,,,,1969
Marina Zenovich,Richard Pryor: Omit the Logic,,,,2015
Sidney Lanfield,Station West,,,,1948
Richard Thorpe,The Student Prince,,,,1954
Harry Horner,Vicki,,,,1953
John Guillermin,Never Let Go,,,,1960
Paul Marcus,Heidi,,,,2005
Howard Baker,Unstable Fables: 3 Pigs & a Baby,,,,2008
Stefano Milla,Richard The Lionheart,,,,2013
David Wickes,Sweeney!,209595.0,,,1977
Nathan H. Juran,Hellcats of the Navy,,,,1957
Luke Meyer,New World Order,,,,2009
Mark Robson,The Little Hut,,,,1957
Bruce Beresford,The Adventures of Barry McKenzie,,,,1972
Eric Karson,Opposing Force,,,,1986
Claudia Myers,Kettle of Fish,,,,2006
Darrell James Roodt,Winnie Mandela,15000000.0,,,2011
Michael Fischa,My Mom's a Werewolf,,,,1989
Xavier Giannoli,Superstar,,,,2012
Jean Negulesco,The Conspirators,,,,1944
Radley Metzger,The Lickerish Quartet,,,,1970
Alain Jessua,Shock Treatment,,,,1973
John A. Russo,Midnight,,,,1982
,I Accidentally Domed Your Son,,,,2004
Tsui Hark,The Lovers,,,,1994
Chris Eyre,Skinwalkers,,,,2002
Richard Fleischer,Tough Enough,,,,1983
Enzo Barboni,One Foot in Heaven,,,,1991
Tripp Reed,Mandrake,,,,2010
Juan Felipe Orozco,Greetings to the Devil,,,,2011
Dick Lowry,In the Line of Duty: The F.B.I. Murders,,,,1988
Sam Grossman,The Van,,,,1977
Claudia Weill,It's My Turn,,,,1980
Marshall Brickman,Lovesick,,,,1983
Antonio Margheriti,Take a Hard Ride,,,,1975
Gabriel Medina,The Paranoids,,,,2008
Bryan Ramirez,Mission Park,,,,2013
David DeCoteau,Snow White: A Deadly Summer,1000000.0,,,2012
Andrew Cymek,Medium Raw,1000000.0,,,2010
Vic Sarin,Love on the Side,,,,2004
Rudolph Maté,Three Violent People,,,,1957
Raoul Walsh,The Sheriff of Fractured Jaw,,,,1958
Richard Sale,Let's Make It Legal,,,,1951
James D. Deck,Silent Partner,3600000.0,,,2005
Kiefer Sutherland,Woman Wanted,,,,1999
Johan Kling,Trust Me,,,,2010
Anthony Michael Hall,Hail Caesar,,,,1994
Chuck Barris,The Gong Show Movie,,,,1980
John Farrow,"Ride, Vaquero!",,,,1953
Stuart Gilmore,The Virginian,,,,1946
Irving Cummings,The Story of Alexander Graham Bell,,,,1939
Len Talan,Hansel and Gretel,,,,1988
Robert Townsend,Phantom Punch,,,,2009
William A. Seiter,Hot Saturday,,,,1932
Michael Kennedy,Robin of Locksley,,,,1996
Peter Medak,The Men's Club,,,,1986
Jeffrey Kusama-Hinte,Soul Power,,,,2008
Claire McCarthy,The Waiting City,,,,2010
Henry Koster,Stars and Stripes Forever,,,,1952
Samad Davis,Three Can Play That Game,1000000.0,,,2007
Dustin Rikert,The Gundown,,,,2011
Ken Sanzel,Lone Hero,,,,2002
John Raffo,Johnny Skidmarks,,,,1998
Åsa Faringer,The Black Pimpernel,5000000.0,,,2007
Franklin J. Schaffner,Lionheart,,,,1987
James Chankin,The Mark,,,,2012
Tiller Russell,The Last Rites of Ransom Pride,,,,2010
Jerry Lewis,The Big Mouth,,,,1967
Delmer Daves,Parrish,1500000.0,4200000.0,2.8,1961
John Sturges,The People Against O'Hara,,,,1951
Robert Asher,Make Mine Mink,,,,1960
Sean McNamara,Space Warriors,,,,2013
Richard Brooks,Something of Value,,,,1957
Lewis Seiler,King of the Underworld,,,,1939
George Erschbamer,Snake Eater,,,,1989
Allan Dwan,Stage Struck,,,,1925
Herbert Ross,I Ought to Be in Pictures,,,,1982
Nobuo Nakagawa,The Ghost of Yotsuya,,,,1959
Gordon Douglas,Way Way Out,,,,1966
Phillip J. Roth,Velocity Trap,,,,1999
Harold F. Kress,The Painted Hills,,,,1951
Raja Nawathe,Gumnaam,,,,1965
Jonathan Kaplan,In Cold Blood,,,,1996
Robert Z. Leonard,Week-End at the Waldorf,,,,1945
John Huston,We Were Strangers,,,,1949
Tom Rickman,The River Rat,,1142944.0,,1984
Olivier Dahan,Tom Thumb,,,,2001
Douglas Hickox,The Hound of the Baskervilles,,,,1983
Robert O'Hara,The Inheritance,500000.0,,,2011
Howard Bretherton,The Trap,,,,1946
Kevin VanHook,Voodoo Moon,,,,2006
Howard Hawks,Today We Live,,,,1933
Lance Kawas,Restitution,,,,2011
Gene Kelly,The Tunnel of Love,,,,1958
Patricia Harrington,Razortooth,,,,2007
John Stecenko,The Legend of Bloody Mary,1000000.0,,,2008
Delbert Mann,Middle of the Night,,,,1959
Jack Webb,The D.I.,,,,1957
George Sidney,Who Was That Lady?,,,,1960
Earl Bellamy,Walking Tall Part II,,,,1975
Karl Malden,Time Limit,,,,1957
Brian McNamara,Lost Signal,2000000.0,,,2007
Richard Martin,Slap Shot 3: The Junior League,4500000.0,,,2008
Mario Zampi,Laughter in Paradise,,,,1951
Andrew L. Stone,Fun on a Weekend,,,,1947
Maarit Lalli,Almost 18,,,,2012
David Muñoz,Fist of Jesus,,,,2012
Luis Lopez,Print the Legend,,,,2014
Paul Tanter,He Who Dares,1000000.0,,,2014
Alfredo Soderguit,Anina,,,,2013
Brian Falk,Against the Sun,,,,2014
Cho Beom-gu,The Divine Move,,,,2014
Tonino Valerii,"A Reason to Live, a Reason to Die",,,,1972
Wallace Fox,Bowery at Midnight,,,,1942
Maurice Tourneur,Carnival of Sinners,,,,1943
Kriv Stenders,Lucky Country,,,,2009
Robert Parrish,Duffy,,,,1968
Roger Gual,Tasting Menu,3780000.0,,,2013
André Singer,Night Will Fall,,,,2014
Joseph M. Newman,Pony Soldier,,,,1952
Claudia Sainte-Luce,The Amazing Catfish,1300000.0,,,2013
Larry Peerce,The Court-Martial of Jackie Robinson,,,,1990
Herbert B. Leonard,The Perils of Pauline,,,,1967
Orson Welles,Black Magic,,,,1949
David Eady,Three Cases of Murder,,,,1955
Orson Welles,The Fountain of Youth,,,,1958
Jacques Tati,Parade,,,,1974
Les Blank,Always for Pleasure,,,,1978
Keisuke Kinoshita,Port of Flowers,,,,1943
Keisuke Kinoshita,The Living Magoroku,,,,1943
Keisuke Kinoshita,Jubilation Street,,,,1944
Keisuke Kinoshita,Army,,,,1944
Keisuke Kinoshita,Morning for the Osone Family,,,,1946
Keisuke Kinoshita,She Was Like a Wild Chrysanthemum,,,,1955
Keisuke Kinoshita,The River Fuefuki,,,,1960
Keisuke Kinoshita,Immortal Love,,,,1961
Keisuke Kinoshita,Legend of a Duel to the Death,,,,1963
Yasujirō Ozu,That Night's Wife,,,,1930
Tia Lessin,Citizen Koch,,,,2013
Sacha Bennett,We Still Kill the Old Way,,,,2014
Giuseppe Andrews,In Our Garden,,,,2002
Adam Rifkin,Giuseppe Makes a Movie,,,,2014
Masaki Kobayashi,Youth of the Son,,,,1952
Antonio Manetti,The Arrival of Wang,,,,2012
Tsai Ming-liang,Walker,,,,2012
Rudolf Ising,One Step Ahead of My Shadow,,,,1933
Silvio Amadio,Amuck!,,,,1972
Leslie H. Martinson,Lad: A Dog,,,,1962
Al Adamson,Horror of the Blood Monsters,,,,1970
Marcello Aliprandi,Smiling Maniacs,,,,1975
Marcello Andrei,Season For Assassins,,,,1975
Jeff Preiss,Low Down,,,,2014
Christopher Wilcha,"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",,,,2013
James Kent,Margaret,,,,2009
Robert Connolly,Paper Planes,,,,2014
SABU,DRIVE,,,,2002
SABU,Hard Luck Hero,,,,2003
SABU,Bunny Drop,,,,2011
Justin Kerrigan,I Know You Know,,,,2009
Pat Holden,Awaydays,,,,2009
Carlo Ausino,Double Game,,,,1977
Camillo Bazzoni,A Long Ride from Hell,,,,1968
Mikko Kuparinen,Body Fat Index of Love,,,,2012
D.M.W. Greer,Burning Blue,,,,2013
Peter Strickland,Björk: Biophilia Live,,,,2014
Jerry Hopper,The Missouri Traveler,,,,1958
Norman Tokar,Those Calloways,,,,1965
Burt Kennedy,The Deserter,,,,1970
Alexander Hall,Torch Singer,,,,1933
Boris Sagal,The Diary of Anne Frank,,,,1980
Juan Bustillo Oro,El compadre Mendoza,,,,1934
Jacques Feyder,Le Grand Jeu,,,,1934
Billy Wilder,Bad Seed,,,,1934
Michael Powell,Red Ensign,,,,1934
Lorraine Bracco,Love and Distrust,,,,2010
Álvaro Sáenz de Heredia,"Aquí llega Condemor, el pecador de la pradera",,1705030.0,,1996
Enrique López Lavigne,El asombroso mundo de Borjamari y Pocholo,,3367646.0,,2004
Trey Stokes,2012: Ice Age,,,,2011
Javier Cárdenas,FBI: Frikis buscan incordiar,,928391.0,,2004
Chema de la Peña,Isi/Disi - Amor a lo bestia,,,,2004
Sidney Lanfield,Red Salute,,,,1935
Michael Curtiz,The Case of the Curious Bride,,,,1935
Archie Mayo,The Case of the Lucky Legs,,,,1935
Julien Duvivier,La Bandera,,,,1935
Luigi Batzella,The Beast in Heat,,,,1977
David Butler,Doubting Thomas,,,,1935
Lamberto Bava,A Blade in the Dark,,,,1983
Michael Powell,The Phantom Light,,,,1935
Earl Bellamy,Seven Alone,,,,1974
Rolfe Kanefsky,Pretty Cool,,,,2005
Hal Hartley,Ned Rifle,,,,2014
Tony Okun,Time in the Minors,,,,2010
Saara Cantell,Stars Above,,,,2012
John McKay,Not Another Happy Ending,,,,2013
David Koepp,Mortdecai,60000000.0,30418560.0,0.506976,2015
Sam Taylor-Johnson,Fifty Shades of Grey,40000000.0,571006128.0,14.2751532,2015
Alex Goyette,Expelled,,,,2014
Todd Kellstein,Buffalo Girls,,,,2012
Janicza Bravo,Gregory Go Boom,,,,2013
Steffen Schäffler,The Periwig-Maker,,,,2000
Dony Permedi,Kiwi!,,,,2006
,Santa's Pocket Watch,,,,1980
David Barnard,Björk at the Royal Opera House,,,,2002
Yuriy Norshteyn,The Fox and the Hare,,,,1973
Dave Fleischer,Christmas Comes but Once a Year,,,,1936
Frédéric Back,Crac,,,,1981
Duncan Skiles,Reggie Watts: Why Shit So Crazy?,,,,2010
Ryan Larkin,Syrinx,,,,1966
Harmony Korine,Curb Dance,,,,2011
John Llewellyn Moxey,Desire: The Vampire,,,,1982
Laurence Merrick,Manson,,,,1973
Seymour Kneitel,Fright to the Finish,,,,1954
William A. Graham,Guyana Tragedy: The Story of Jim Jones,,,,1980
Larry Leichliter,"I Want a Dog for Christmas, Charlie Brown",,,,2003
Michael A. Simpson,Impure Thoughts,,,,1986
Harold L. Muller,It's a Bird,,,,1930
,Stephen Fry In America - New World,,,,NaT
Lars von Trier,The Trip to Squash Land,,,,1967
Larry Leichliter,Charlie Brown's Christmas Tales,,,,2002
Janicza Bravo,Eat,,,,2011
Phil Roman,Garfield's Halloween Adventure,,,,1985
Bill Melendez,"It's Christmastime Again, Charlie Brown",,,,1992
Duwayne Dunham,Halloweentown,,,,1998
Mary Lambert,Halloweentown II: Kalabar's Revenge,,,,2001
Mark A.Z. Dippé,Halloweentown High,,,,2004
Stephen Quay,Nocturna Artificialia,,,,1979
George Albert Smith,Santa Claus,,,,1898
Veit Helmer,Surprise,,,,1996
Jack Hannah,Trick or Treat,,,,1952
Marc Daniels,Vengeance: The Story of Tony Cimo,,,,1986
Sam Raimi,Within the Woods,1600.0,,,1978
Chuck Workman,100 Years at the Movies,,,,1994
Mark Whiting,Apple Jack,,,,2003
Ralph Bakshi,The Butter Battle Book,,,,1989
Irv Spector,Corn on the Cop,,,,1965
Georges Méliès,The Black Imp,,,,1905
Gerard Baldwin,Halloween is Grinch Night,,,,1977
,Marilyn in Manhattan,,,,1998
Buzz Kulik,Rage of Angels,,,,1983
Paul Wendkos,Rage of Angels: The Story Continues,,,,1986
Max Fleischer,Rudolph the Red-Nosed Reindeer,,,,1948
Patrick Hughes,Signs,,,,2008
Hal Sutherland,The Fat Albert Halloween Special,,,,1977
Michael Dougherty,Season's Greetings,,,,1996
Chuck Jones,The Dot and the Line: A Romance in Lower Mathematics,,,,1965
Mark Farrell,Nantucket Film Festival's Comedy Roundtable,,,,2012
Chris Cunningham,Rubber Johnny,,,,2005
Harmony Korine,Act da Fool,,,,2010
Jean-Marie Straub,En rachâchant,,,,1982
Lars von Trier,A Flower,,,,1971
,Boo to You Too! Winnie the Pooh,,,,1996
Claude Cloutier,Sleeping Betty,,,,2007
Dave Fleischer,Betty Boop's Hallowe'en Party,,,,1933
Dick Huemer,Halloween,,,,1931
William Lau,Barbie: A Fashion Fairytale,,,,2010
Bruce Bilson,The Halloween That Almost Wasn't,,,,1979
Christy Cabanne,The Mystery of the Leaping Fish,,,,1916
David Lynch,The 3 Rs,,,,2011
David Muñoz,Brutal Relax,,,,2010
Koji Yamamura,Franz Kafka's a Country Doctor,,,,2007
Jack Hannah,Pluto's Christmas Tree,,,,1952
Stephen Quay,Stille Nacht I,,,,1988
Arthur Davis,Holiday for Drumsticks,,,,1949
Kurt Voss,The Horseplayer,,,,1990
Mark Borchardt,Coven,,,,2000
Timothy Quay,Rehearsals for Extinct Anatomies,,,,1987
Rein Raamat,Suur Tõll,,,,1980
,We Can Be Heroes,,,,2005
David Fine,Bob's Birthday,,,,1994
Chuck Jones,Broom-Stick Bunny,,,,1956
Takena Nagao,Chainsaw Maid,,,,2007
Roger Allers,The Little Matchgirl,,,,2006
Walt Disney,The Haunted House,,,,1929
Spike Jonze,How They Get There,,,,1997
Marc Didden,Istanbul,,,,1985
Igor Kovalyov,"Hen, His Wife",,,,1990
Glen Kasper,Inside The X-Files,,,,1998
Richard Gale,The Horribly Slow Murderer with the Extremely Inefficient Weapon,,,,2008
David Steinberg,Norm MacDonald: Me Doing Standup,,,,2011
Joanna Romersa,A Flintstones Christmas Carol,,,,1994
Yuriy Norshteyn,Hedgehog in the Fog,,,,1975
Wilfred Jackson,The Cat's Out,11087.0,,,1931
Barry Bruce,Claymation Comedy of Horrors,,,,1991
Rúnar Rúnarsson,The Last Farm,,,,2004
Harmony Korine,Snowballs,,,,2011
,"Danger! 50,000 Zombies",,,,2004
Robert F. McGowan,Bouncing Babies,,,,1929
Jonathan Stern,Stella: Live in Boston,,,,2009
Jacobo Rispa,Diario de un skin,,,,2005
Albert S. Rogell,The Black Cat,176000.0,,,1941
Jessica Nilsson,All About Anna,,,,2005
Michel Lang,Let's Get Those English Girls,,,,1976
Dick Lowry,Archie To Riverdale and Back Again,,,,1990
Christian-Jaque,Babette Goes to War,,,,1959
Catherine Castel,Darling Trap,,,,2014
Jeanne Labrune,Special Delivery,,,,2002
Pierre-Paul Renders,Mr. Average,,,,2006
Hideaki Anno,Cutie Honey,,,,2004
Dominique Farrugia,"Delphine 1, Yvan 0",,,,1996
Jason Bourque,Doomsday Prophecy,,,,2011
Manuel Gómez Pereira,Love Can Seriously Damage Your Health,,,,1997
Lamberto Bava,The Cave of the Golden Rose,,,,1991
Paul Cox,Human Touch,,,,2005
Andrew Neel,King Kelly,,,,2012
François Armanet,La Bande du drugstore,,,,2002
Claude Pinoteau,The Slap,,,,1974
,Lahore,,,,2010
Axel Corti,The King's Whore,,,,1990
Felipe Braga,Latitudes,670.0,,,2014
Marc Esposito,Frenchmen 2,,,,2007
Eric Barbier,The Last Diamond,,,,2014
Gilles Grangier,"Le printemps, l'automne et l'amour",,,,1955
Philippe de Broca,1001 Nights,,,,1990
Don E. FauntLeRoy,Lightspeed,,,,2006
Gérard Jugnot,Meilleur espoir féminin,,,,2000
Pascal Thomas,"Mercredi, folle journée !",,,,2001
